#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520425510457972808,0.6750630229,0.4963690204,1.1657158852,0.9964196926,0.0617077086,-0.0407795382,-0.0409509979
1520425510466306808,0.6742807156,0.4964574359,1.1656917876,0.9964951854,0.0614359566,-0.0405467156,-0.0397357834
1520425510474639808,0.6734079031,0.4964154667,1.1658467352,0.9966054433,0.0606369808,-0.0400507340,-0.0386870219
1520425510482972808,0.6726872703,0.4963456704,1.1659452444,0.9967227535,0.0597827981,-0.0397445495,-0.0372845888
1520425510491305808,0.6719930561,0.4965029973,1.1658879702,0.9967790401,0.0596767631,-0.0395967427,-0.0360877706
1520425510499639808,0.6712910970,0.4967196484,1.1658237863,0.9968340343,0.0595816653,-0.0393481962,-0.0349807471
1520425510507972808,0.6705820681,0.4969054989,1.1657177766,0.9968804763,0.0595547591,-0.0391099603,-0.0339552287
1520425510516306808,0.6700051052,0.4970434142,1.1657367381,0.9969467859,0.0593796046,-0.0386522997,-0.0328202439
1520425510524639808,0.6695805800,0.4975782842,1.1654175538,0.9968612655,0.0607253394,-0.0392866751,-0.0321963930
1520425510532972808,0.6689444921,0.4978401130,1.1653318245,0.9968904965,0.0609174228,-0.0388627922,-0.0314338827
1520425510541305808,0.6682156929,0.4979376769,1.1654660636,0.9970159235,0.0602029624,-0.0376945039,-0.0302320361
1520425510549639808,0.6676474836,0.4981279269,1.1654494896,0.9970778403,0.0600687773,-0.0370752742,-0.0292052457
1520425510557972808,0.6670151099,0.4982945841,1.1654494481,0.9971485746,0.0597981973,-0.0362579595,-0.0283594112
1520425510566306808,0.6665285579,0.4983783657,1.1655169031,0.9972125445,0.0595497865,-0.0357087266,-0.0273102699
1520425510574639808,0.6660074181,0.4986293726,1.1654972222,0.9972300619,0.0598535092,-0.0351318912,-0.0267490438
1520425510582972808,0.6655606022,0.4987417490,1.1655234676,0.9972828729,0.0596323840,-0.0345509820,-0.0260207597
1520425510591306808,0.6649649067,0.4989265876,1.1654818466,0.9973354638,0.0594724630,-0.0338133586,-0.0253309227
1520425510599639808,0.6644141891,0.4988551593,1.1656061469,0.9974593706,0.0585510537,-0.0326662015,-0.0240727533
1520425510607972808,0.6638743957,0.4988974381,1.1657043640,0.9975363890,0.0579581339,-0.0318525958,-0.0233969980
1520425510616305808,0.6634540469,0.4989597409,1.1657953136,0.9975867441,0.0576495317,-0.0313401007,-0.0226939973
1520425510624639808,0.6628487857,0.4990472965,1.1657807183,0.9976360083,0.0573396725,-0.0308216053,-0.0220133035
1520425510632972808,0.6623865803,0.4990627731,1.1658645703,0.9976684280,0.0570321906,-0.0306876676,-0.0215244978
1520425510641306808,0.6619437484,0.4990571154,1.1659673503,0.9977135724,0.0565949812,-0.0305083338,-0.0208297176
1520425510649639808,0.6613902405,0.4990691091,1.1659966761,0.9977494699,0.0563298462,-0.0302481450,-0.0201988494
1520425510657972808,0.6609132483,0.4992835014,1.1658996183,0.9976884655,0.0570976521,-0.0306845097,-0.0203971749
1520425510666305808,0.6604070438,0.4989588381,1.1661222976,0.9977890814,0.0558218818,-0.0303771217,-0.0194447174
1520425510674639808,0.6598296433,0.4991905308,1.1659421593,0.9977371905,0.0565698813,-0.0306440906,-0.0195265694
1520425510682972808,0.6593771776,0.4991040281,1.1659984065,0.9977346827,0.0565676292,-0.0308961315,-0.0192622762
1520425510691306808,0.6588494863,0.4987783515,1.1661508048,0.9978019910,0.0557016671,-0.0306947820,-0.0186102475
1520425510699639808,0.6582985298,0.4989685180,1.1659788531,0.9977438276,0.0565382369,-0.0309622983,-0.0187621537
1520425510707972808,0.6579377420,0.4988420034,1.1660327280,0.9977537202,0.0564100598,-0.0311606957,-0.0182874264
1520425510716306808,0.6573683142,0.4987389551,1.1659536823,0.9977352490,0.0566990144,-0.0312312313,-0.0182812715
1520425510724639808,0.6568675834,0.4986454670,1.1659232808,0.9977255207,0.0568684409,-0.0312969457,-0.0181732510
1520425510732972808,0.6564662640,0.4985623942,1.1659247242,0.9976918369,0.0571773483,-0.0316813865,-0.0183858404
1520425510741305808,0.6560252446,0.4984676051,1.1659531312,0.9977003966,0.0570605656,-0.0317742371,-0.0181220406
1520425510749639808,0.6555228159,0.4984186167,1.1658874649,0.9976648487,0.0574517019,-0.0320896287,-0.0182868086
1520425510757972808,0.6550574466,0.4983161448,1.1658456385,0.9976493598,0.0576217819,-0.0323415260,-0.0181524361
1520425510766306808,0.6546265677,0.4981964682,1.1658883236,0.9976231819,0.0577283117,-0.0328715066,-0.0183000822
1520425510774639808,0.6542217081,0.4979979325,1.1659822532,0.9976272089,0.0575788670,-0.0331107927,-0.0181190956
1520425510782972808,0.6536929484,0.4979268226,1.1659296175,0.9975826168,0.0580527676,-0.0334844689,-0.0183736002
1520425510791305808,0.6532892907,0.4977715133,1.1659885743,0.9975659681,0.0581451489,-0.0338321714,-0.0183484348
1520425510799639808,0.6528028550,0.4976633364,1.1659890309,0.9975375529,0.0584202587,-0.0341472291,-0.0184355837
1520425510807972808,0.6523362871,0.4974730705,1.1660262705,0.9975226177,0.0585236090,-0.0343852643,-0.0184734385
1520425510816306808,0.6518303627,0.4973683852,1.1659766321,0.9974896194,0.0589279989,-0.0346639509,-0.0184488680
1520425510824639808,0.6513553836,0.4970137781,1.1661519734,0.9975148030,0.0585014301,-0.0347689809,-0.0182460523
1520425510832972808,0.6508583558,0.4970891284,1.1660664565,0.9974277429,0.0594518351,-0.0354123842,-0.0186906429
1520425510841306808,0.6503088364,0.4967810414,1.1662112120,0.9974593470,0.0589100589,-0.0355595510,-0.0184383955
1520425510849639808,0.6498607548,0.4966431875,1.1663212071,0.9974529495,0.0588673700,-0.0358494077,-0.0183593614
1520425510857972808,0.6494491713,0.4965240423,1.1664528164,0.9974551375,0.0586548441,-0.0362823635,-0.0180678748
1520425510866305808,0.6489990358,0.4964213174,1.1665645949,0.9974570151,0.0585341605,-0.0365116032,-0.0178929572
1520425510874639808,0.6485658277,0.4963250384,1.1667061106,0.9974773999,0.0582240474,-0.0365969035,-0.0175915787
1520425510882972808,0.6481396663,0.4962189871,1.1669010064,0.9975150896,0.0577032815,-0.0365598142,-0.0172440522
1520425510891306808,0.6477698622,0.4961348982,1.1670939065,0.9975433169,0.0573310907,-0.0365624673,-0.0168422959
1520425510899639808,0.6473475311,0.4960607106,1.1672689428,0.9975636423,0.0570554550,-0.0365100240,-0.0166875012
1520425510907972808,0.6469574717,0.4959565063,1.1674360693,0.9975925921,0.0566979931,-0.0363977398,-0.0164183500
1520425510916305808,0.6465387194,0.4958166103,1.1676212640,0.9976340457,0.0562272069,-0.0361136388,-0.0161436407
1520425510924639808,0.6460992761,0.4957390021,1.1677408232,0.9976393253,0.0562486584,-0.0359897871,-0.0160187498
1520425510932972808,0.6456989233,0.4956433615,1.1679117502,0.9976639127,0.0560346576,-0.0357364833,-0.0158031049
1520425510941306808,0.6453005074,0.4955230470,1.1681003639,0.9976868167,0.0558068246,-0.0355023891,-0.0156905829
1520425510949639808,0.6450015083,0.4954322872,1.1683342909,0.9976954424,0.0557464479,-0.0354078499,-0.0155699033
1520425510957972808,0.6445986441,0.4952691074,1.1685464141,0.9977331087,0.0553172936,-0.0351437774,-0.0152825327
1520425510966306808,0.6442355946,0.4951433515,1.1687431173,0.9977480964,0.0551650523,-0.0350243820,-0.0151276476
1520425510974639808,0.6438694022,0.4950275525,1.1689536772,0.9977634458,0.0550092841,-0.0348878878,-0.0149973370
1520425510982972808,0.6435481864,0.4949217163,1.1691728715,0.9977583754,0.0550825885,-0.0348927164,-0.0150542729
1520425510991305808,0.6431684660,0.4948106475,1.1694030811,0.9977787679,0.0549193383,-0.0346030476,-0.0149674855
1520425510999639808,0.6427184449,0.4945490512,1.1697222770,0.9978517749,0.0538519971,-0.0342709173,-0.0147411683
1520425511007972808,0.6423361405,0.4946642287,1.1698131324,0.9978049326,0.0545917833,-0.0342356595,-0.0152634599
1520425511016306808,0.6419854647,0.4943001737,1.1702229402,0.9979001562,0.0533172766,-0.0336990414,-0.0147282359
1520425511024639808,0.6416576193,0.4941309497,1.1705286066,0.9979460869,0.0526453923,-0.0334346008,-0.0146354989
1520425511032972808,0.6412332206,0.4942439370,1.1705652238,0.9978933965,0.0533379541,-0.0336398689,-0.0152378158
1520425511041305808,0.6409049959,0.4940362665,1.1709175175,0.9979462047,0.0525010792,-0.0334635367,-0.0150731829
1520425511049639808,0.6405152195,0.4938415757,1.1712297854,0.9979821107,0.0517981261,-0.0334496751,-0.0151585020
1520425511057972808,0.6401292966,0.4936676366,1.1715021343,0.9979956629,0.0514140676,-0.0335860138,-0.0152718727
1520425511066306808,0.6397261730,0.4932016396,1.1719328926,0.9980695254,0.0501303866,-0.0334405818,-0.0150297810
1520425511074639808,0.6393379565,0.4930188084,1.1721929261,0.9980809539,0.0498145950,-0.0335477354,-0.0150819472
1520425511082972808,0.6389406257,0.4928097014,1.1724431185,0.9980899119,0.0496524195,-0.0335028568,-0.0151236119
1520425511091306808,0.6385669741,0.4926390169,1.1726528368,0.9980774739,0.0497289936,-0.0336892019,-0.0152781176
1520425511099639808,0.6381804084,0.4924436833,1.1728547085,0.9980705034,0.0497333780,-0.0338306839,-0.0154060458
1520425511107972808,0.6378337430,0.4922476248,1.1731164976,0.9980755583,0.0495675061,-0.0339249010,-0.0154059487
1520425511116305808,0.6374236047,0.4923248655,1.1731119203,0.9979833847,0.0507717264,-0.0344875874,-0.0161864730
1520425511124639808,0.6370382533,0.4921267654,1.1733208295,0.9979610346,0.0508851387,-0.0348304563,-0.0164716550
1520425511132972808,0.6366433631,0.4916808821,1.1737055411,0.9980122382,0.0500076676,-0.0347706576,-0.0161804485
1520425511141306808,0.6362198072,0.4917401988,1.1737367748,0.9979233810,0.0511137652,-0.0353697210,-0.0168905761
1520425511149639808,0.6357605850,0.4915401924,1.1739429487,0.9979054694,0.0511422049,-0.0356440902,-0.0172814289
1520425511157972808,0.6353699247,0.4910733827,1.1743714097,0.9979702686,0.0499974447,-0.0355434141,-0.0170957397
1520425511166305808,0.6350021884,0.4908969786,1.1746634874,0.9979748386,0.0497007656,-0.0357446550,-0.0172735370
1520425511174639808,0.6346134099,0.4909738390,1.1747093536,0.9978659900,0.0507240363,-0.0366362422,-0.0186634398
1520425511182972808,0.6342000780,0.4907636922,1.1749722038,0.9978822422,0.0502506454,-0.0367863897,-0.0187793735
1520425511191306808,0.6338249978,0.4906105886,1.1752494856,0.9978975786,0.0498120432,-0.0369227320,-0.0188651730
1520425511199639808,0.6334062267,0.4902234592,1.1756182588,0.9979599116,0.0487578032,-0.0368159839,-0.0185276744
1520425511207972808,0.6329786905,0.4903166571,1.1756938848,0.9979090685,0.0493387813,-0.0371593142,-0.0190357822
1520425511216306808,0.6326017700,0.4902042380,1.1759561702,0.9979214684,0.0490261178,-0.0372462754,-0.0190236060
1520425511224639808,0.6321954081,0.4898360118,1.1762940376,0.9979764794,0.0481182509,-0.0371466552,-0.0186468905
1520425511232972808,0.6318017787,0.4897134726,1.1765021113,0.9979851295,0.0479204928,-0.0371615221,-0.0186635740
1520425511241305808,0.6313948591,0.4895684319,1.1767008423,0.9979939756,0.0477614443,-0.0370791019,-0.0187619099
1520425511249639808,0.6309687292,0.4894588932,1.1768971670,0.9980114925,0.0474833702,-0.0369755499,-0.0187403056
1520425511257972808,0.6305741087,0.4895516867,1.1769508001,0.9979646995,0.0482031822,-0.0370552467,-0.0192307163
1520425511266306808,0.6301457153,0.4892021528,1.1772380697,0.9980403772,0.0472130233,-0.0365282900,-0.0187621927
1520425511274639808,0.6297721421,0.4890423206,1.1773965089,0.9980376372,0.0472252558,-0.0364536318,-0.0190205882
1520425511282972808,0.6293657555,0.4889210094,1.1775401840,0.9980557607,0.0470437551,-0.0362109200,-0.0189829620
1520425511291305808,0.6289445716,0.4887967878,1.1776224024,0.9980624222,0.0470244621,-0.0360170490,-0.0190492422
1520425511299639808,0.6285490710,0.4886682896,1.1777434094,0.9980809354,0.0468685013,-0.0357456837,-0.0189746163
1520425511307972808,0.6281354365,0.4887892049,1.1777061453,0.9980418318,0.0475349038,-0.0357401643,-0.0193797699
1520425511316306808,0.6277687933,0.4884344798,1.1779710302,0.9981195772,0.0464982802,-0.0352228876,-0.0188299692
1520425511324639808,0.6274296842,0.4883278391,1.1780963761,0.9981489494,0.0461807574,-0.0349325498,-0.0185938007
1520425511332972808,0.6270413325,0.4882340231,1.1781172723,0.9981598477,0.0461770499,-0.0346763407,-0.0184972963
1520425511341306808,0.6266617394,0.4884186485,1.1780003986,0.9981236183,0.0468598590,-0.0346629928,-0.0187582826
1520425511349639808,0.6263568960,0.4883287224,1.1780631844,0.9981437996,0.0467125840,-0.0343826781,-0.0185666727
1520425511357972808,0.6260027768,0.4882602197,1.1780926972,0.9981733527,0.0464593353,-0.0339619101,-0.0183868626
1520425511366305808,0.6257044533,0.4881820947,1.1781453816,0.9982033914,0.0461624648,-0.0336107294,-0.0181475941
1520425511374639808,0.6255572025,0.4882537121,1.1780875356,0.9981856867,0.0464279631,-0.0338333911,-0.0180299958
1520425511382972808,0.6250675107,0.4880838137,1.1782089992,0.9982486895,0.0457224859,-0.0329850518,-0.0179163225
1520425511391306808,0.6247540469,0.4879839719,1.1782865461,0.9982865621,0.0452142793,-0.0326350500,-0.0177359081
1520425511399639808,0.6244634470,0.4879352953,1.1783477450,0.9983160921,0.0448438439,-0.0323290906,-0.0175738364
1520425511407972808,0.6243199804,0.4880792240,1.1781469608,0.9982623118,0.0455768436,-0.0329141549,-0.0176569109
1520425511416305808,0.6238422128,0.4876379871,1.1784297451,0.9983821474,0.0439155211,-0.0318115066,-0.0171038835
1520425511424639808,0.6235397568,0.4875868118,1.1784212806,0.9983945563,0.0437334145,-0.0316868190,-0.0170775824
1520425511432972808,0.6232755765,0.4875276555,1.1784017998,0.9984014168,0.0436215957,-0.0316463142,-0.0170375527
1520425511441306808,0.6230080903,0.4875145888,1.1783158061,0.9984003118,0.0436945972,-0.0316292024,-0.0169467729
1520425511449639808,0.6227382533,0.4874759159,1.1782156072,0.9983898757,0.0439066194,-0.0316400139,-0.0169933644
1520425511457972808,0.6224814170,0.4874320217,1.1781240208,0.9983832717,0.0440494534,-0.0316458315,-0.0170008757
1520425511466306808,0.6222221392,0.4873875552,1.1780154922,0.9983721896,0.0442972962,-0.0316562445,-0.0169883149
1520425511474639808,0.6219719909,0.4873440222,1.1778891458,0.9983570299,0.0445836659,-0.0317331615,-0.0169865833
1520425511482972808,0.6217152383,0.4873022525,1.1777497048,0.9983426630,0.0448478551,-0.0317967300,-0.0170166148
1520425511491305808,0.6214575303,0.4872199880,1.1776187464,0.9983376394,0.0450135805,-0.0317396083,-0.0169803613
1520425511499639808,0.6211886554,0.4871542042,1.1774769369,0.9983147226,0.0453946192,-0.0318048067,-0.0171900375
1520425511507972808,0.6208811008,0.4870804748,1.1773039817,0.9982973047,0.0457317722,-0.0318012962,-0.0173139832
1520425511516306808,0.6206441866,0.4870169494,1.1772188081,0.9982973432,0.0457284110,-0.0317880096,-0.0173450110
1520425511524639808,0.6203556884,0.4869470423,1.1770288180,0.9982727192,0.0461729831,-0.0318582108,-0.0174553160
1520425511532972808,0.6200817482,0.4869194783,1.1769018266,0.9982644708,0.0462325077,-0.0319354200,-0.0176275475
1520425511541305808,0.6198308404,0.4868645328,1.1767871023,0.9982587509,0.0462545557,-0.0320122554,-0.0177538105
1520425511549639808,0.6195439723,0.4868175219,1.1766393075,0.9982653920,0.0462492714,-0.0318645133,-0.0176596948
1520425511557972808,0.6193525608,0.4867462132,1.1765484926,0.9982509979,0.0463419524,-0.0320529914,-0.0178878292
1520425511566306808,0.6191197576,0.4866990180,1.1764297843,0.9982489936,0.0463733038,-0.0320614494,-0.0179032665
1520425511574639808,0.6188952538,0.4866266987,1.1763173611,0.9982480476,0.0463837685,-0.0320938674,-0.0178707885
1520425511582972808,0.6186409912,0.4868119404,1.1760351397,0.9981858917,0.0473068509,-0.0323788587,-0.0184010038
1520425511591306808,0.6184006682,0.4865185538,1.1760548796,0.9982499099,0.0463876903,-0.0320662884,-0.0178059732
1520425511599639808,0.6181727166,0.4864659167,1.1759072160,0.9982382993,0.0465527421,-0.0321389458,-0.0178949221
1520425511607972808,0.6179889582,0.4863658476,1.1758276396,0.9982385120,0.0465077148,-0.0321731299,-0.0179386548
1520425511616305808,0.6177178478,0.4862981926,1.1756257173,0.9982155847,0.0469112875,-0.0322171406,-0.0180840650
1520425511624639808,0.6174569310,0.4864732924,1.1753088168,0.9981470368,0.0479605886,-0.0324773371,-0.0186412848
1520425511632972808,0.6172145370,0.4863921244,1.1751577431,0.9981412657,0.0481138307,-0.0324034565,-0.0186839212
1520425511641306808,0.6169785105,0.4863311115,1.1749879412,0.9981300285,0.0483505545,-0.0323565300,-0.0187543334
1520425511649639808,0.6167282477,0.4862594009,1.1748293434,0.9981246018,0.0484832941,-0.0322619453,-0.0188630940
1520425511657972808,0.6164721376,0.4861792102,1.1746500321,0.9981200935,0.0486412611,-0.0321509452,-0.0188844774
1520425511666305808,0.6162067658,0.4860940799,1.1744659614,0.9981177186,0.0487941028,-0.0319650239,-0.0189312600
1520425511674639808,0.6159555219,0.4860330123,1.1742832007,0.9981191382,0.0489021808,-0.0317742865,-0.0188986068
1520425511682972808,0.6156761242,0.4859956150,1.1741014160,0.9981377776,0.0489493496,-0.0313672202,-0.0184671468
1520425511691306808,0.6154351274,0.4859169708,1.1739365446,0.9981401954,0.0490134200,-0.0311971032,-0.0184546965
1520425511699639808,0.6152168149,0.4858651900,1.1738121548,0.9981484723,0.0489155010,-0.0310671021,-0.0184861091
1520425511707972808,0.6149948415,0.4857667806,1.1736471434,0.9981401302,0.0491008124,-0.0309595433,-0.0186251822
1520425511716306808,0.6147261839,0.4856930306,1.1734814879,0.9981504789,0.0490031139,-0.0308084203,-0.0185784155
1520425511724639808,0.6144706175,0.4856211106,1.1733239382,0.9981523624,0.0490415214,-0.0306828257,-0.0185837263
1520425511732972808,0.6142123890,0.4852834424,1.1733443534,0.9982203830,0.0481115057,-0.0302123947,-0.0181262591
1520425511741305808,0.6139310890,0.4852238805,1.1731783325,0.9982271679,0.0481328463,-0.0300349976,-0.0179902546
1520425511749639808,0.6135984356,0.4854260137,1.1728063954,0.9981554952,0.0493049804,-0.0302194048,-0.0184773898
1520425511757972808,0.6133197815,0.4851737634,1.1727805733,0.9982012804,0.0487134514,-0.0298894783,-0.0181058703
1520425511766306808,0.6130065559,0.4852827828,1.1725039164,0.9981663819,0.0493306264,-0.0299042210,-0.0183330548
1520425511774639808,0.6129036970,0.4854514136,1.1721478491,0.9980876978,0.0504399770,-0.0306532859,-0.0183611610
1520425511782972808,0.6126018800,0.4854042175,1.1719846477,0.9980807467,0.0506118879,-0.0306240189,-0.0183147324
1520425511791305808,0.6121403268,0.4851675963,1.1720056097,0.9981414053,0.0499728869,-0.0298582282,-0.0180258643
1520425511799639808,0.6118635301,0.4851058187,1.1718633098,0.9981385561,0.0500846999,-0.0298931664,-0.0178141593
1520425511807972808,0.6115566224,0.4850452089,1.1716880507,0.9981325889,0.0502793216,-0.0298906882,-0.0176031681
1520425511816306808,0.6112640770,0.4847752578,1.1716545362,0.9981841728,0.0496126435,-0.0296571764,-0.0169527191
1520425511824639808,0.6109593946,0.4849833036,1.1713308296,0.9981202484,0.0505884264,-0.0300179224,-0.0171960830
1520425511832972808,0.6107090427,0.4846379119,1.1713642542,0.9981876506,0.0496601202,-0.0297948976,-0.0163569771
1520425511841306808,0.6104189217,0.4845859819,1.1712191722,0.9981744254,0.0498947142,-0.0299949954,-0.0160821066
1520425511849639808,0.6101002137,0.4845499206,1.1710808293,0.9981766953,0.0498447265,-0.0300816128,-0.0159337642
1520425511857972808,0.6098047458,0.4845221534,1.1709026699,0.9981561005,0.0500366830,-0.0304448730,-0.0159323273
1520425511866305808,0.6094714800,0.4844753986,1.1707540155,0.9981394639,0.0501382396,-0.0307287889,-0.0161092841
1520425511874639808,0.6091599892,0.4844138554,1.1705803149,0.9981145838,0.0506397793,-0.0307759812,-0.0159915399
1520425511882972808,0.6088433803,0.4843537301,1.1704483347,0.9981012972,0.0507610427,-0.0310077655,-0.0159886053
1520425511891306808,0.6085333418,0.4842870620,1.1702961737,0.9980694399,0.0512001135,-0.0312249649,-0.0161537317
1520425511899639808,0.6082330562,0.4842339448,1.1701714108,0.9980628768,0.0512475322,-0.0313853726,-0.0160979105
1520425511907972808,0.6079222786,0.4841668858,1.1700473868,0.9980561688,0.0513378356,-0.0315025543,-0.0159968632
1520425511916305808,0.6075874945,0.4841090868,1.1699155703,0.9980497778,0.0513920470,-0.0316434538,-0.0159433472
1520425511924639808,0.6073084383,0.4840186126,1.1698009534,0.9980246497,0.0516210484,-0.0319420367,-0.0161793774
1520425511932972808,0.6069810103,0.4839192543,1.1696769971,0.9980035295,0.0518375718,-0.0321483623,-0.0163799901
1520425511941306808,0.6066843384,0.4838236288,1.1695426531,0.9979850873,0.0521006758,-0.0322942589,-0.0163818799
1520425511949639808,0.6063278013,0.4839713399,1.1692888698,0.9979211232,0.0528082372,-0.0327739755,-0.0170466569
1520425511957972808,0.6059991143,0.4836418651,1.1693220754,0.9979755295,0.0519879456,-0.0326318673,-0.0166510462
1520425511966306808,0.6056124318,0.4837716355,1.1690353415,0.9979036044,0.0528245607,-0.0331063093,-0.0173762604
1520425511974639808,0.6052978754,0.4834502911,1.1690744130,0.9979464349,0.0521140056,-0.0330529027,-0.0171624308
1520425511982972808,0.6049793173,0.4833376951,1.1689606670,0.9979354600,0.0521845007,-0.0332306879,-0.0172428833
1520425511991305808,0.6046040398,0.4832901117,1.1688142485,0.9979253079,0.0522881440,-0.0332821021,-0.0174164156
1520425511999639808,0.6042409459,0.4832087207,1.1686726572,0.9979239963,0.0522953226,-0.0333264856,-0.0173851117
1520425512007972808,0.6038653077,0.4833645539,1.1683532574,0.9978420621,0.0533869881,-0.0337374829,-0.0179674926
